Column2;Column3
METAR;Date/Time (UTC)
METAR 300534066581040 252355Z AUTO 09004G05KT M1/4SM FG CLR M10/M13 A2980 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2355Z
METAR 300534066581040 252335Z AUTO 08003G04KT M1/4SM FG CLR M10/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2335Z
METAR 300534066581040 252315Z AUTO 08002G03KT M1/4SM FG CLR M10/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2315Z
METAR 300534066581040 252255Z AUTO 09002G03KT 1 1/2SM BR CLR M10/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2255Z
METAR 300534066581040 252235Z AUTO 10003KT 6SM CLR M10/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2235Z
METAR 300534066581040 252215Z AUTO 10004G05KT 6SM ///008 M10/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2215Z
METAR 300534066581040 252155Z AUTO 10004G05KT 6SM ///007 ///010 ///016 M10/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2155Z
METAR 300534066581040 252135Z AUTO 08005G09KT 6SM ///002 ///005 M10/M13 A2981 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 2135Z
METAR 300534066581040 252115Z AUTO 09005G06KT 6SM ///002 M10/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2115Z
METAR 300534066581040 252055Z AUTO 08006G09KT 6SM ///002 M9/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2055Z
METAR 300534066581040 252035Z AUTO 09007G09KT 6SM ///030 M9/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2035Z
METAR 300534066581040 252015Z AUTO 08007G08KT 6SM ///031 ///032 M9/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2015Z
METAR 300534066581040 251955Z AUTO 07007G09KT 6SM CLR M9/M14 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1955Z
METAR 300534066581040 251935Z AUTO 09008G12KT 6SM CLR M9/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1935Z
METAR 300534066581040 251915Z AUTO 09009G14KT 6SM ///002 ///003 M9/M13 A2980 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1915Z
METAR 300534066581040 251855Z AUTO 09007G10KT 6SM ///002 M9/M13 A2980 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1855Z
METAR 300534066581040 251835Z AUTO 09008G11KT 6SM CLR M9/M14 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1835Z
METAR 300534066581040 251815Z AUTO 09007G09KT 6SM ///002 ///004 M8/M14 A2981 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1815Z
METAR 300534066581040 251755Z AUTO 09005G08KT 6SM ///002 ///009 ///010 M8/M14 A2981 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1755Z
METAR 300534066581040 251735Z AUTO 07005G07KT 6SM ///002 ///006 ///010 M8/M14 A2981 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1735Z
METAR 300534066581040 251715Z AUTO 09006G08KT 6SM ///007 ///008 ///010 M8/M14 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1715Z
METAR 300534066581040 251655Z AUTO 10007G11KT 6SM ///004 ///005 ///006 M8/M14 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1655Z
METAR 300534066581040 251635Z AUTO 10006G08KT 6SM ///002 ///018 M8/M15 A2981 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1635Z
METAR 300534066581040 251615Z AUTO 09006G10KT 6SM ///002 ///004 ///010 M8/M15 A2981 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1615Z
METAR 300534066581040 251555Z AUTO 10004G09KT 6SM ///002 ///005 ///017 ///018 M6/M14 A2981 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1555Z
METAR 300534066581040 251535Z AUTO 09003G05KT 6SM ///002 ///006 ///015 ///016 M6/M14 A2981 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1535Z
METAR 300534066581040 251515Z AUTO 36001G04KT 6SM ///004 ///006 ///014 ///015 M6/M14 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1515Z
METAR 300534066581040 251455Z AUTO 32002G03KT 6SM ///002 ///006 ///007 M8/M14 A2980 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1455Z
METAR 300534066581040 251435Z AUTO 33002G03KT 6SM ///001 ///002 M9/M15 A2980 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1435Z
METAR 300534066581040 251415Z AUTO 34003G04KT 6SM ///002 ///004 ///006 M11/M16 A2979 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1415Z
METAR 300534066581040 251355Z AUTO 35005G06KT 6SM ///002 ///005 M11/M16 A2979 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1355Z
METAR 300534066581040 251335Z AUTO 34005G06KT 6SM ///003 ///004 ///006 ///020 M12/M17 A2978 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1335Z
METAR 300534066581040 251315Z AUTO 34005G07KT 6SM CLR M12/M17 A2978 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1315Z
METAR 300534066581040 251255Z AUTO 34007G08KT 6SM ///002 M13/M17 A2978 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1255Z
METAR 300534066581040 251235Z AUTO 34007G08KT 6SM ///015 ///016 ///017 M13/M17 A2977 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1235Z
METAR 300534066581040 251215Z AUTO 34008G09KT 6SM ///002 M14/M18 A2977 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1215Z
METAR 300534066581040 251155Z AUTO 34007G09KT 6SM ///002 M14/M18 A2976 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1155Z
METAR 300534066581040 251135Z AUTO 34007G08KT 6SM CLR M14/M18 A2975 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1135Z
METAR 300534066581040 251115Z AUTO 34008G10KT 6SM CLR M14/M18 A2975 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1115Z
METAR 300534066581040 251055Z AUTO 34009G11KT 6SM ///002 M14/M18 A2974 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 1055Z
METAR 300534066581040 251035Z AUTO 34009G11KT 6SM ///002 ///011 M14/M17 A2973 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1035Z
METAR 300534066581040 251015Z AUTO 34009G11KT 6SM ///002 ///022 M14/M18 A2973 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 1015Z
METAR 300534066581040 250955Z AUTO 34010G12KT 6SM ///021 ///022 ///024 ///025 M14/M18 A2972 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0955Z
METAR 300534066581040 250935Z AUTO 34009G12KT 6SM ///022 ///023 M14/M18 A2972 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0935Z
METAR 300534066581040 250915Z AUTO 34011G12KT 6SM ///023 ///031 ///032 ///035 M14/M18 A2971 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0915Z
METAR 300534066581040 250855Z AUTO 34012G16KT 6SM ///022 ///031 M13/M17 A2971 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0855Z
METAR 300534066581040 250835Z AUTO 33011G13KT 6SM ///023 ///024 M13/M17 A2970 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0835Z
METAR 300534066581040 250815Z AUTO 34011G14KT 6SM ///025 ///026 M14/M18 A2969 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0815Z
METAR 300534066581040 250755Z AUTO 33010G12KT 6SM ///025 M14/M18 A2969 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0755Z
METAR 300534066581040 250735Z AUTO 34010G14KT 6SM ///025 ///026 M14/M17 A2968 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0735Z
METAR 300534066581040 250715Z AUTO 34010G12KT 6SM ///015 ///028 M14/M17 A2968 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0715Z
METAR 300534066581040 250655Z AUTO 34011G13KT 6SM CLR M14/M17 A2967 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0655Z
METAR 300534066581040 250635Z AUTO 34009G12KT 6SM CLR M14/M17 A2967 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0635Z
METAR 300534066581040 250615Z AUTO 33010G11KT 6SM CLR M14/M17 A2967 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0615Z
METAR 300534066581040 250555Z AUTO 33009G11KT 6SM CLR M14/M17 A2966 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0555Z
METAR 300534066581040 250535Z AUTO 33010G12KT 6SM ///002 M14/M17 A2966 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0535Z
METAR 300534066581040 250515Z AUTO 32011G14KT 6SM ///002 ///007 M14/M18 A2965 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 0515Z
METAR 300534066581040 250455Z AUTO 32010G12KT 6SM ///023 ///024 M14/M18 A2965 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0455Z
METAR 300534066581040 250435Z AUTO 32009G13KT 6SM ///023 M14/M18 A2964 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0435Z
METAR 300534066581040 250415Z AUTO 32008G09KT 6SM ///023 ///024 M13/M17 A2964 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0415Z
METAR 300534066581040 250355Z AUTO 33008G09KT 6SM CLR M13/M17 A2964 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0355Z
METAR 300534066581040 250335Z AUTO 32009G11KT 6SM ///025 M13/M17 A2964 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0335Z
METAR 300534066581040 250315Z AUTO 33009G10KT 6SM CLR M13/M17 A2964 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0315Z
METAR 300534066581040 250255Z AUTO 33009G12KT 6SM CLR M13/M17 A2963 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0255Z
METAR 300534066581040 250235Z AUTO 33009G12KT 6SM CLR M13/M17 A2963 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0235Z
METAR 300534066581040 250215Z AUTO 34009G11KT 6SM CLR M13/M17 A2963 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0215Z
METAR 300534066581040 250155Z AUTO 34008G11KT 6SM CLR M13/M17 A2963 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0155Z
METAR 300534066581040 250135Z AUTO 33008G09KT 6SM CLR M13/M17 A2962 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0135Z
METAR 300534066581040 250115Z AUTO 34008G09KT 6SM CLR M13/M16 A2962 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0115Z
METAR 300534066581040 250055Z AUTO 34008G09KT 6SM CLR M13/M16 A2962 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0055Z
METAR 300534066581040 250035Z AUTO 34009G11KT 6SM CLR M13/M16 A2962 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0035Z
METAR 300534066581040 250015Z AUTO 34008G10KT 5SM CLR M13/M16 A2962 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 0015Z
METAR 300534066581040 242355Z AUTO 34008G10KT 6SM CLR M12/M16 A2961 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 2355Z
METAR 300534066581040 242335Z AUTO 36010G11KT 010V360 6SM CLR M12/M15 A2961 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 2335Z
METAR 300534066581040 242315Z AUTO 01013G18KT 6SM CLR M12/M16 A2961 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 2315Z
METAR 300534066581040 242255Z AUTO 01012G16KT 6SM CLR M12/M16 A2960 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 2255Z
METAR 300534066581040 242235Z AUTO 01013G19KT 6SM CLR M12/M15 A2960 RMK AO2 SLPNO MAX WND 01019KT 53.3075° -60.4006°;02/24/2026 2235Z
METAR 300534066581040 242215Z AUTO 01011G13KT 5SM CLR M12/M15 A2960 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 2215Z
METAR 300534066581040 242155Z AUTO 01013G16KT 5SM CLR M12/M15 A2959 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 2155Z
METAR 300534066581040 242135Z AUTO 01013G16KT 4SM CLR M11/M15 A2958 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 2135Z
METAR 300534066581040 242115Z AUTO 01013G17KT 3SM CLR M11/M14 A2958 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 2115Z
METAR 300534066581040 242055Z AUTO 01013G18KT 3SM CLR M11/M14 A2957 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 2055Z
METAR 300534066581040 242035Z AUTO 01013G16KT 2SM CLR M11/M14 A2957 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 2035Z
METAR 300534066581040 242015Z AUTO 02014G19KT 1 1/2SM BR CLR M10/M14 A2957 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 2015Z
METAR 300534066581040 241955Z AUTO 01013G18KT 1 1/2SM BR CLR M10/M14 A2958 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 1955Z
METAR 300534066581040 241935Z AUTO 01014G18KT 6SM ///002 M10/M14 A2958 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 1935Z
METAR 300534066581040 241915Z AUTO 02013G16KT 6SM CLR M10/M14 A2958 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 1915Z
METAR 300534066581040 241855Z AUTO 02016G20KT 3SM CLR M10/M14 A2958 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 1855Z
METAR 300534066581040 241835Z AUTO 01015G19KT 5SM ///002 M10/M14 A2958 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 1835Z
METAR 300534066581040 241815Z AUTO 01012G16KT 6SM CLR M10/M14 A2958 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 1815Z
METAR 300534066581040 241755Z AUTO 01012G15KT 4SM CLR M10/M13 A2959 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 1755Z
METAR 300534066581040 241735Z AUTO 01014G17KT 3SM ///002 M10/M13 A2959 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 1735Z
METAR 300534066581040 241715Z AUTO 02014G17KT 2SM BR ///002 M10/M13 A2960 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 1715Z
METAR 300534066581040 241655Z AUTO 01014G18KT 2SM BR ///002 ///003 M10/M13 A2961 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/24/2026 1655Z
METAR 300534066581040 241635Z AUTO 01015G20KT 2SM BR ///001 ///002 M10/M14 A2962 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/24/2026 1635Z
METAR 300534066581040 241615Z AUTO 02014G20KT 1 1/2SM BR ///002 M10/M13 A2963 RMK AO2 SLPNO MAX WND 02020KT 53.3075° -60.4006°;02/24/2026 1615Z
METAR 300534066581040 241555Z AUTO 01011G17KT 2SM BR ///001 ///002 ///004 ///015 M9/M13 A2964 RMK AO2 CLD LYR BLO 004 SLPNO MAX WND 01017KT 53.3075° -60.4006°;02/24/2026 1555Z
METAR 300534066581040 241535Z AUTO 02010G14KT 2SM BR ///001 ///002 M9/M13 A2965 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/24/2026 1535Z
METAR 300534066581040 241515Z AUTO 04012G17KT 1 3/4SM BR ///002 ///006 M9/M13 A2966 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/24/2026 1515Z
METAR 300534066581040 241455Z AUTO 04012G16KT 2SM BR ///001 ///002 ///005 M10/M14 A2967 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/24/2026 1455Z
METAR 300534066581040 241435Z AUTO 04010G15KT 1 3/4SM BR ///002 ///003 M10/M14 A2968 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/24/2026 1435Z
METAR 300534066581040 241415Z AUTO 03011G15KT 6SM CLR M11/M15 A2969 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 1415Z
METAR 300534066581040 241355Z AUTO 03008G13KT M1/4SM FG CLR M12/M15 A2971 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 1355Z
METAR 300534066581040 241335Z AUTO 03006G08KT M1/4SM FG CLR M13/M16 A2972 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 1335Z
METAR 300534066581040 241315Z AUTO 01005G07KT M1/4SM FG CLR M13/M17 A2973 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 1315Z
METAR 300534066581040 241255Z AUTO 36004G07KT M1/4SM FG CLR M14/M17 A2974 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 1255Z
METAR 300534066581040 241235Z AUTO 32003KT M1/4SM FG CLR M15/M18 A2975 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 1235Z
METAR 300534066581040 241215Z AUTO 28003G05KT M1/4SM FG ///002 M16/M19 A2977 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 1215Z
METAR 300534066581040 241155Z AUTO 27003G04KT M1/4SM FG ///002 ///018 M16/M20 A2978 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/24/2026 1155Z
METAR 300534066581040 241135Z AUTO 25003G05KT M1/4SM FG ///010 ///015 ///016 M16/M20 A2979 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 1135Z
METAR 300534066581040 241115Z AUTO 23002G03KT M1/4SM FG ///015 ///016 M17/M20 A2980 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 1115Z
METAR 300534066581040 241055Z AUTO 23003KT 4SM ///015 M17/M21 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 1055Z
METAR 300534066581040 241035Z AUTO 23002G04KT 6SM ///015 M17/M21 A2982 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 1035Z
METAR 300534066581040 241015Z AUTO 25002G03KT 6SM ///004 ///005 ///006 ///015 M17/M21 A2983 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 1015Z
METAR 300534066581040 240955Z AUTO 36001G02KT 6SM ///005 ///014 M18/M21 A2985 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 0955Z
METAR 300534066581040 240935Z AUTO 16002G03KT 6SM ///004 ///015 M18/M22 A2986 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 0935Z
METAR 300534066581040 240915Z AUTO 16003G04KT 6SM ///003 ///026 ///036 ///037 M18/M22 A2987 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/24/2026 0915Z
METAR 300534066581040 240855Z AUTO 16003G04KT 6SM ///029 ///031 ///033 ///034 M18/M21 A2988 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 0855Z
METAR 300534066581040 240835Z AUTO 17004G05KT 6SM ///022 M18/M22 A2989 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 0835Z
METAR 300534066581040 240815Z AUTO 36001G04KT 6SM ///021 ///022 ///023 M18/M22 A2990 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 0815Z
METAR 300534066581040 240755Z AUTO 28003G05KT 6SM ///021 M18/M22 A2992 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 0755Z
METAR 300534066581040 240735Z AUTO 27002G04KT 6SM ///020 M19/M22 A2993 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 0735Z
METAR 300534066581040 240715Z AUTO 34003G05KT 6SM ///020 ///021 M19/M23 A2994 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 0715Z
METAR 300534066581040 240655Z AUTO 36001G02KT 6SM CLR M19/M23 A2996 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 0655Z
METAR 300534066581040 240635Z AUTO 28002G04KT 6SM CLR M19/M23 A2998 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 0635Z
METAR 300534066581040 240615Z AUTO 36001G02KT 6SM CLR M18/M23 A2998 RMK AO2 SLPNO 53.3075° -60.4006°;02/24/2026 0615Z
